PARTICIPANT_FLOW_ID|NCT_ID|PERIOD_TITLE|RECRUITMENT_DETAILS|PRE_ASSIGNMENT_DETAILS
113|NCT00054847|Overall Study|Multicenter, randomized controlled trial conducted from February 2003 to February 2009 at 11 Veterans Affairs medical centers among 757 participants (99% men) undergoing first-time elective coronary artery bypass graft surgery.|The left internal mammary artery was used to preferentially graft the left anterior descending coronary artery whenever possible; the best remaining recipient vessel was randomized to radial artery vs saphenous vein graft.
114|NCT00055237|Overall Study||
115|NCT00055471|Period 1: Dose Escalation Period|22 male patients with metastatic prostate cancer and rising Prostate Specific Antigen (PSA) levels were recruited from 11th June 2003 (last subject completed on 31st October 2005). This study was conducted in 2 centres in the United States.|6 of the 22 screened patients were not entered into the study as they did not fulfill the study eligibility criteria.
116|NCT00055471|Period 2: Extension Period|22 male patients with metastatic prostate cancer and rising Prostate Specific Antigen (PSA) levels were recruited from 11th June 2003 (last subject completed on 31st October 2005). This study was conducted in 2 centres in the United States.|6 of the 22 screened patients were not entered into the study as they did not fulfill the study eligibility criteria.
117|NCT00031447|Overall Study|Neonates diagnosed with HSV-1 or HSV-2 at least than or equal to 28 days of age as evidenced by infections limited to the skin, eye and mouth with normal CNS and treated with intravenous acyclovir therapy.|Participants enrolled while on 2 weeks of IV acyclovir therapy who have positive CSF HSV PCR results within 48 hours prior to IV therapy completion, are not randomized.
118|NCT00031460|Overall Study|Neonates diagnosed with HSV-1 or HSV-2 <= 28 days of age with evidence of CNS HSV disease (with or without evidence of viral dissemination to other organs, such as the skin, liver, and lungs) then treated with intravenous acyclovir therapy.  Subject has negative CSF PCR results within 48 hours prior to completion of intravenous acyclovir therapy.|Subjects enrolled while on 2 - 3 weeks of IV acyclovir therapy who have positive cerebrospinal Fluid (CSF) herpes simplex virus (HSV) PCR results within 48 hours prior to IV therapy completion, are not randomized.
119|NCT00031486|Overall Study|Subjects enrolled in the study presented with findings of HSE.|Patients considered for enrollment are those who are receiving and will have completed IV Acyclovir for a minimum duration of 14 days to a maximum of 21 days at a minimum dose of 30 mg/kg/day to a maximum dose of 60 mg/kg/day.
120|NCT00032487|Overall Study|Twenty Veterans Affairs Medical Centers (VAMCs) were selected to participate in this cooperative study.  The recruitment period was from 12/01/00 to 05/31/03.|A patient had to meet all the screening criteria for eligibility and had to sign a consent form with blood samples and meet all entry criteria  for pre-randomization testing.  Once the patient was deemed appropriate for the study, Hines completed the randomization assignment.
121|NCT00032591|Screening|Recruitment started in August 2003 and ended at the end of May 2006. Participating sites were VA Medical Centers with anticoagulation services with active rosters of more than 400 patients.|A total of 3745 participants were consented and screened. Out of this total, 823 were excluded from the study.  The majority of those excluded is due to participants not doing or passing the competency assessment.
122|NCT00032591|Randomization|Recruitment started in August 2003 and ended at the end of May 2006. Participating sites were VA Medical Centers with anticoagulation services with active rosters of more than 400 patients.|A total of 3745 participants were consented and screened. Out of this total, 823 were excluded from the study.  The majority of those excluded is due to participants not doing or passing the competency assessment.
138|NCT00038467|Overall Study|The publication describing study results (Coombes RC et al; N Engl J Med 350; 1119) stated that 4742 participants were enrolled in study. It was later discovered that 2 participants were randomized twice. Hence, 4740 participants were enrolled in this study.|Main study also included 3 sub-studies only for the purpose of tolerability assessment: endometrial status, bone metabolism and quality of life (QoL). Out of 4740 enrolled participants, data for 16 participants from a center were excluded since it was considered unreliable. Results are reported for remaining 4724 participants.
139|NCT00038857|Overall Study|Recruitment Period:October 1, 2001 to November 1, 2008. All participants recruited at UT MD Anderson Cancer Center.|Of the 29 participants enrolled, one participant was excluded from the trial and did not receive any treatment.
267|NCT00065806|Overall Study||
268|NCT00066066|Overall Study|Subjects with moderate to advanced chronic periodontitis were recruited to the clinical center at The Forsyth Institute.  Subjects were recruited from the Boston area, subjects of any racial / ethnic group were accepted for study.|Only 5 subjects dropped prior to randomization due to conflicts in scheduling or unable to adhere to the monitoring plan.
269|NCT00066170|Overall Study||
270|NCT00066469|Overall Study||
271|NCT00066573|Overall Study||
272|NCT00066742|Induction Chemoradiotherapy|Between 9/2003 and 7/2006, 72 of planned 85 limited smal-cell lung cancer patients were enrolled by SWOG institutions. The study was closed early due to a report of excess toxicity for Tirapazamine in a head and neck cancer trial elsewhere.|
273|NCT00066742|Consolidation Chemotherapy|Between 9/2003 and 7/2006, 72 of planned 85 limited smal-cell lung cancer patients were enrolled by SWOG institutions. The study was closed early due to a report of excess toxicity for Tirapazamine in a head and neck cancer trial elsewhere.|
274|NCT00066963|Overall Study|January 2001 - July 2002.  Supplemental Nutrition Program for Women, Infants & Children (WICs); Womens resource center; medical clinics; pre-schools; dental clinics|Cleft lip or palate, developmental or learning disabilities, older than 36 mos; younger than 6 mos,immuno-compromised, born outside SF Bay Area where water  is non-fluoridated, lack parental consent; lack 4 maxillary incisors, have caries, other family member in study, transient parents, ineligible to use SF Health Dept service
275|NCT00041392|Overall Study|Hospital and preoperative clinic|
293|NCT00045630|Overall Study||
294|NCT00046228|90 Days|The study was conducted in 20 countries. The FINESSE (Facilitated INtervention with Enhanced Reperfusion Speed to Stop Events) study began enrollment in August 2002. It was planned that approximately 3,000 subjects would be enrolled. Because of enrollment difficulty, subject enrollment was stopped on 30 Dec 2006.|A total of 2,461 subjects were enrolled in the study according to the sponsor’s clinical trial management system. Out of 2461 subjects, 2,452 subjects were randomly assigned to the 3 treatment groups.
295|NCT00046228|1 Year|The study was conducted in 20 countries. The FINESSE (Facilitated INtervention with Enhanced Reperfusion Speed to Stop Events) study began enrollment in August 2002. It was planned that approximately 3,000 subjects would be enrolled. Because of enrollment difficulty, subject enrollment was stopped on 30 Dec 2006.|A total of 2,461 subjects were enrolled in the study according to the sponsor’s clinical trial management system. Out of 2461 subjects, 2,452 subjects were randomly assigned to the 3 treatment groups.
296|NCT00046839|Overall Study||
297|NCT00046930|Overall Study||
298|NCT00047008|Overall Study||
299|NCT00047320|Overall Study||
300|NCT00047385|Overall Study|Recruitment was from August 2002 through April 2004 at 33 NLST sites.|Participants signed a study informed consent prior to being randomized to a study arm.
301|NCT00047463|Overall Study|This pilot clinical trial was conducted between September 2002 and July 2005 at University of Michigan, Cleveland Clinic, University of North Carolina at Chapel Hill, and Vanderbilt University, with a Data Coordinating Center at the University of Michigan. 68 participants were enrolled and 35 were randomized.|Epilepsy clinic patients initially meeting trial eligibility on the basis of chart review completed the Sleep Apnea Scale of the Sleep Disorders Questionnaire, a validated instrument that assesses the likelihood of having obstructive sleep apnea, and underwent a sleep and epilepsy evaluation by the site investigator.
